Volatility 3 Framework 2.28.0

PID	Process	Args

4	System	-
108	Registry	-
372	smss.exe	\SystemRoot\System32\smss.exe
472	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
548	wininit.exe	wininit.exe
556	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
620	winlogon.exe	winlogon.exe
692	services.exe	C:\Windows\system32\services.exe
712	lsass.exe	C:\Windows\system32\lsass.exe
824	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p
856	fontdrvhost.ex	"fontdrvhost.exe"
864	fontdrvhost.ex	"fontdrvhost.exe"
952	svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p
1004	svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
448	dwm.exe	"dwm.exe"
1052	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1076	svchost.exe	-
1084	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1096	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
1200	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1296	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
1332	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p
1356	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1392	VBoxService.ex	C:\Windows\System32\VBoxService.exe
1404	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1552	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc
1568	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem
1576	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1608	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes
1624	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc
1728	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
1776	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS
1796	MemCompression	-
1880	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache
1900	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
1912	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm
2144	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager
2152	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2280	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2312	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2320	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
2380	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository
2432	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2552	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2588	spoolsv.exe	C:\Windows\System32\spoolsv.exe
2652	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2704	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2960	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc
2968	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
2976	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt
2984	svchost.exe	C:\Windows\System32\svchost.exe -k utcsvc -p
3060	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer
2240	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc
2612	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
2860	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService
3104	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost
3184	svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3348	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs
3856	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}
3928	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
3964	svchost.exe	C:\Windows\system32\svchost.exe -k wsappx -p -s AppXSvc
3040	svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent
4808	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
4984	sihost.exe	sihost.exe
5052	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
5084	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
700	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
4176	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker
4152	userinit.exe	-
4684	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService
4412	explorer.exe	C:\Windows\Explorer.EXE
4384	ctfmon.exe	"ctfmon.exe"
4740	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc
5600	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s LicenseManager
5648	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv
5876	svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
6072	StartMenuExper	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca
6236	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
6652	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
7124	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
6528	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
3164	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
6164	msedge.exe	-
7380	msedge.exe	-
7388	msedge.exe	-
7396	msedge.exe	-
7616	SecurityHealth	"C:\Windows\System32\SecurityHealthSystray.exe" 
7676	SecurityHealth	C:\Windows\system32\SecurityHealthService.exe
7792	VBoxTray.exe	"C:\Windows\System32\VBoxTray.exe" 
7864	OneDrive.exe	-
7468	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Appinfo
8576	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s lfsvc
8932	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
8740	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p
1116	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UsoSvc
6560	MoUsoCoreWorke	C:\Windows\System32\mousocoreworker.exe -Embedding
7096	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc
5512	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc
9988	SgrmBroker.exe	C:\Windows\system32\SgrmBroker.exe
10028	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -s W32Time
1272	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
