Volatility 3 Framework 2.28.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x980000192c20	UDPv6	fe80::af99:2a8e:4adb:7e2a	59794	*	0		4868	svchost.exe	2026-05-26 17:01:25.000000 UTC
0x9800001a20f0	UDPv4	0.0.0.0	123	*	0		10028	svchost.exe	2026-06-15 13:18:45.000000 UTC
0x9800001a3600	UDPv4	0.0.0.0	123	*	0		10028	svchost.exe	2026-06-15 13:18:45.000000 UTC
0x9800001a3600	UDPv6	::	123	*	0		10028	svchost.exe	2026-06-15 13:18:45.000000 UTC
0x9b84c2c91310	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2026-05-26 16:57:04.000000 UTC
0x9b84c2c91310	TCPv6	::	445	::	0	LISTENING	4	System	2026-05-26 16:57:04.000000 UTC
0x9b84c2c91890	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	2588	spoolsv.exe	2026-05-26 16:57:03.000000 UTC
0x9b84c303c700	TCPv4	10.0.2.15	51972	89.106.20.202	80	CLOSED	5512	svchost.exe	2026-07-04 12:49:35.000000 UTC
0x9b84c4bdf050	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	712	lsass.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4bdf050	TCPv6	::	49664	::	0	LISTENING	712	lsass.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4bdf890	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1200	svchost.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4bdf9f0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	952	svchost.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4bdf9f0	TCPv6	::	135	::	0	LISTENING	952	svchost.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4bdfb50	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1200	svchost.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4bdfb50	TCPv6	::	49666	::	0	LISTENING	1200	svchost.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4be0230	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	952	svchost.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4be0390	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	548	wininit.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4be0390	TCPv6	::	49665	::	0	LISTENING	548	wininit.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4be0650	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	712	lsass.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4be07b0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	548	wininit.exe	2026-05-26 16:57:02.000000 UTC
0x9b84c4be0bd0	TCPv6	::1	42050	::	0	LISTENING	11132	OneDrive.Sync.	2026-07-04 12:47:59.000000 UTC
0x9b84c4d82260	TCPv6	fd17:625c:f037:2:c8dc:7d02:114e:ac1	51939	2800:3f0:4001:814::2001	443	CLOSED	12596	msedge.exe	2026-07-04 12:45:56.000000 UTC
0x9b84c5816700	TCPv4	10.0.2.15	51970	23.192.58.38	443	ESTABLISHED	5512	svchost.exe	2026-07-04 12:49:35.000000 UTC
