Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x9b84c2c9a080	166	-	N/A	False	2026-05-26 16:56:56.000000 UTC	N/A	-	-	-
* 372	4	smss.exe	0x9b84c335c040	2	-	N/A	False	2026-05-26 16:56:56.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 108	4	Registry	0x9b84c2dc7040	4	-	N/A	False	2026-05-26 16:56:37.000000 UTC	N/A	Registry	-	-
* 1796	4	MemCompression	0x9b84ca439040	38	-	N/A	False	2026-05-26 16:57:03.000000 UTC	N/A	MemCompression	-	-
472	460	csrss.exe	0x9b84c900b240	10	-	0	False	2026-05-26 16:57:01.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
548	460	wininit.exe	0x9b84c983a080	1	-	0	False	2026-05-26 16:57:01.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 712	548	lsass.exe	0x9b84c989d080	9	-	0	False	2026-05-26 16:57:02.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\lsass.exe	C:\Windows\system32\lsass.exe	C:\Windows\system32\lsass.exe
* 856	548	fontdrvhost.ex	0x9b84c99c1140	5	-	0	False	2026-05-26 16:57:02.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\Windows\system32\fontdrvhost.exe
* 692	548	services.exe	0x9b84c9894080	6	-	0	False	2026-05-26 16:57:02.000000 UTC	N/A	\Device\HarddiskVolume1\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
